Scrip Code,COMPANY,ISIN No.,Close Price
532296,GLENMARK PHARMACEUTICALS LTD.,INE935A01035,1686
543654,Global Health Limited,INE474Q01031,1074.55
543829,Global Surfaces Limited,INE0JSX01015,178.85
533104,GLOBUS SPIRITS LTD.,INE615I01010,906.8
505255,GMM PFAUDLER LTD.,INE541A01023,1370.8
532754,GMR AIRPORTS INFRASTRUCTURE LI,INE776C01039,95.85
543490,GMR Power and Urban Infra Limi,INE0CU601026,122.16
543401,Go Fashion (India) Limited,INE0BJS01011,1141.95
506480,GOCL Corporation Limited,INE077F01035,478.05
532734,GODAWARI POWER & ISPAT LTD.,INE177H01021,980.25
500163,GODFREY PHILLIPS INDIA LTD.,INE260B01028,5405.2
540743,Godrej Agrovet Limited,INE850D01014,798.5
532424,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,1428.2
500164,GODREJ INDUSTRIES LTD.,INE233A01035,939.4
533150,GODREJ PROPERTIES LTD,INE484J01027,2882.4
532630,GOKALDAS EXPORTS LTD.,INE887G01027,933.5
539725,Gokul Agro Resources Ltd,INE314T01025,235.05
526729,GOLDIAM INTERNATIONAL LTD.,INE025B01025,286.3
530655,Goodluck India Limited,INE127I01024,891.1
500168,GOODYEAR INDIA LTD.,INE533A01012,1172.2
532482,GRANULES INDIA LTD.,INE101D01020,680.95
509488,GRAPHITE INDIA LTD.,INE371A01025,532.2
500300,GRASIM INDUSTRIES LTD.,INE047A01021,2746.6
505710,GRAUER & WEIL (INDIA) LTD.,INE266D01021,107.24
533282,GRAVITA INDIA LTD.,INE024L01027,2136.35
500620,GREAT EASTERN SHIPPING CO.LTD.,INE017A01032,1317.5
501455,GREAVES COTTON LTD.,INE224A01026,176.25
538979,Greenlam Industries Ltd,INE544R01021,583.75
542857,Greenpanel Industries Limited,INE08ZM01014,382.05
526797,GREENPLY INDUSTRIES LTD.,INE461C01038,402.2
506076,GRINDWELL NORTON LTD.,INE536A01023,2482.9
531449,GRM OVERSEAS LTD.,INE192H01020,262.8
532775,GTL INFRASTRUCTURE LTD.,INE221H01019,2.81
540602,GTPL Hathway Limited,INE869I01013,165.5
509079,GUFIC BIOSCIENCES LTD.,INE742B01025,390.3
530001,GUJARAT ALKALIES & CHEMICALS L,INE186A01019,772
524226,GUJARAT AMBUJA EXPORTS LTD.,INE036B01030,136.75
542812,Gujarat Fluorochemicals Limite,INE09N301011,3203.35
539336,Gujarat Gas Limited,INE844O01030,594.15
517300,GUJARAT INDUSTRIES POWER CO.LT,INE162A01010,220.65
532181,GUJARAT MINERAL DEVELOPMENT CO,INE131A01031,371.45
500670,GUJARAT NARMADA VALLEY FERTILI,INE113A01013,666.3
533248,GUJARAT PIPAVAV PORT LTD.,INE517F01014,232.5
500690,GUJARAT STATE FERTILIZERS & CH,INE026A01025,237.65
532702,GUJARAT STATE PETRONET LTD.,INE246F01010,338.45
506879,GUJARAT THEMIS BIOSYN LTD.,INE942C01045,363.4
538567,GULF OIL LUBRICANTS INDIA LTD,INE635Q01029,1407.45
532457,GULSHAN POLYOLS LTD.,INE255D01024,201.9
541019,H.G. Infra Engineering Limited,INE926X01010,1589.4
543227,Happiest Minds Technologies Li,INE419U01012,789.65
544057,Happy Forgings Limited,INE330T01021,1205.05
541276,HARDWYN INDIA LIMITED,INE626Z01029,28.75
543517,Hariom Pipe Industries Limited,INE00EV01017,820.05
543600,Harsha Engineers International,INE0JUS01029,553.55
533162,HATHWAY CABLE & DATACOM LTD,INE982F01036,21.37
531531,HATSUN AGRO PRODUCT LTD.,INE473B01035,1316.15
517354,HAVELLS INDIA LTD.,INE176B01034,1887
508486,HAWKINS COOKERS LTD.,INE979B01015,8684.75
517271,HBL POWER SYSTEMS LTD.,INE292B01021,656.9
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1663.2
541729,HDFC Asset Management Company,INE127D01025,4384.3
500180,HDFC BANK LTD.,INE040A01034,1625.6
540777,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,728.8
539787,HealthCare Global Enterprises,INE075I01017,383.6
509631,HEG LTD.,INE545A01016,2020.45
500292,HEIDELBERGCEMENT INDIA LTD.,INE578A01017,231.55
543242,Hemisphere Properties India Li,INE0AJG01018,199.95
543266,Heranba Industries Limited,INE694N01015,481.4
505720,HERCULES HOISTS LTD.,INE688E01024,606.6
519552,HERITAGE FOODS LIMITED,INE978A01027,548.1
500182,HERO MOTOCORP LTD.,INE158A01026,5387.3
524669,HESTER BIOSCIENCES LTD.,INE782E01017,2474.9
506390,Heubach Colorants India Limite,INE492A01029,539.8
500183,HFCL LIMITED,INE548A01028,149.95
543411,HI-TECH PIPES LIMITED,INE106T01025,178.5
524735,HIKAL LTD.,INE475B01022,327.1
509675,HIL LTD.,INE557A01011,2774.2
500184,Himadri Speciality Chemical Lt,INE019C01026,527.1
514043,HIMATSINGKA SEIDE LTD.,INE049A01027,150.3
500440,HINDALCO INDUSTRIES LTD.,INE038A01020,685.05
